STATION_NAME,ADDRESS,CITY,ACCESS,LEVEL_1_COUNT,LEVEL_2_COUNT,DC_FAST_ COUNT,EV OTHER INFO,LATITUDE,LONGITUDE
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,24 hours daily; pay lot,1,1,NONE,NONE,41.119291,-73.369266
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,41.041538,-73.671661
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,41.692299,-72.769268
Isham Garage,17 Isham Rd,West Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,41.760873,-72.740521
GENE LANGAN VW,816 New London Turnpike,Glastonbury,24 hours daily,NONE,2,NONE,NONE,41.704415,-72.593366
I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily; priority for Connecticut Green Bank employees,NONE,2,NONE,NONE,41.641774,-72.676125
Homestead Inn - Tesla Destination,5 Elm St,New Milford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,41.580889,-73.411005
Western Connecticut State University,179 White St,Danbury,24 hours daily,NONE,2,NONE,NONE,41.399432,-73.44475
Grace Mayflower Inn and Spa - Tesla Destination,118 Woodbury Rd,"Rte 47, Washington",24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,41.628601,-73.305987
I-95 Madison SB Service Plaza - Tesla Supercharger,I-95 South Bound,Madison,24 hours daily; Tesla users only,NONE,NONE,10,NONE,41.2919023,-72.57936232
Bishop's Orchards Farm Market,1355 Boston Post Rd,Guilford,24 hours daily,NONE,2,NONE,NONE,41.290395,-72.695702
Campus at Greenhill,108 Leigus Road,Wallingford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,4,NONE,NONE,41.478889,-72.775522
Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,9am-5pm M-F,NONE,1,NONE,NONE,41.5374181,-72.8935933
Town of Glastonbury - Town Hall,2155 Main St,Glastonbury,24 hours daily,NONE,1,NONE,NONE,41.706856,-72.611655
Green’s Farms Railroad Station,2 Post Office Ln,Westport,24 hours daily,NONE,1,NONE,NONE,41.122442,-73.315136
Connecticut Insurance Exchange of Southington,1133 Meriden-Waterbury Turnpike,Plantsville,24 hours daily,NONE,1,NONE,NONE,41.564358,-72.88305
HOFFMAN HONDA 1,40 Albany Turnpike,Simsbury,24 hours daily,NONE,4,NONE,NONE,41.818224,-72.869331
CT RAIL,51 Depot Rd,Berlin,24 hours daily,NONE,2,NONE,NONE,41.6356154,-72.7653384
Three Rivers Community College,574 New London Turnpike,Norwich,24 hours daily,NONE,2,NONE,NONE,41.510596,-72.10451
Town of Stafford - Public Works Garage,210 E St,Stafford Springs,24 hours daily,NONE,1,NONE,NONE,41.984164,-72.290233
Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,24 hours daily,NONE,2,NONE,NONE,41.354138,-73.014176
Steelpointe Harbor,255 East Main Street,Bridgeport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,4,NONE,NONE,41.1781223,-73.1812232
COMM LOT STA 1,5 Depot Pl,Bethel,24 hours daily,NONE,2,NONE,NONE,41.3703626,-73.4145557
The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,24 hours daily,NONE,2,NONE,NONE,41.812203,-72.556345
TOWN OF PUTNAM,1-73 Canal St,Putnam,24 hours daily,NONE,2,NONE,NONE,41.914513,-71.9098896
Maritime Garage,11 North Water Street,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,41.104278,-73.418955
GE WS - Price Chopper #243 Storrs CT 2,1220  Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,41.801976,-72.241315
Stratford Square,411 Barnum Ave Cutoff,Stratford,24 hours daily,NONE,NONE,8,NONE,41.198018,-73.122342
Cumberland Farms,471 New Park Ave,West Hartford,24 hours daily,NONE,NONE,1,NONE,41.741696,-72.718112
City of New Haven - Air Rights Garage,60 York St,New Haven,24 hours daily; pay lot,NONE,5,NONE,NONE,41.305265,-72.934141
Lime Rock Park - Tesla Destination,60 White Hollow Rd,Lakeville,24 hours daily; for customer use only,NONE,11,NONE,NONE,41.930342,-73.389367
Danbury Fair Mall - Tesla Supercharger,7 Backus Ave,Danbury,24 hours daily; for Tesla use only,NONE,NONE,10,NONE,41.379441,-73.477961
Western Connecticut State University,198 White St,Danbury,24 hours daily,NONE,4,NONE,NONE,41.398492,-73.443485
Coventry High School,78 Ripley Hill Rd,Coventry,24 hours daily,NONE,2,NONE,NONE,41.782923,-72.313767
Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot,NONE,3,NONE,NONE,41.052215,-73.540733
Groton New London Airport,155 Tower Ave,Groton,24 hours daily,NONE,2,NONE,NONE,41.332527,-72.044683
TEN TEN WASH,1010 Washington Blvd,Stamford,24 hours daily,NONE,2,NONE,NONE,41.0535888,-73.5431681
RSI EAST,1115 West St,Southington,24 hours daily,NONE,2,NONE,NONE,41.618456,-72.8973437
University of Connecticut - School of Law,55 Elizabeth St,Hartford,Lot business hours,NONE,2,NONE,NONE,41.772484,-72.70705
CROWLEY VW,245 New Britain Ave,Plainville,24 hours daily,NONE,2,NONE,NONE,41.6771741,-72.8411522
Homewood Suites,99 Marsh Hill Rd,Orange,For guest use only,NONE,8,NONE,NONE,41.252117,-72.998271
Asnuntuck Community College,170 Elm St,Enfield,24 hours daily,NONE,3,NONE,NONE,42.0000268,-72.5697849
Fairfield NB - Tesla Supercharger,165 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,NONE,NONE,12,NONE,41.146214,-73.257123
Connecticut Department of Energy and Environmental Protection - Marine Headquarters,333 Ferry Rd,Old Lyme,24 hours daily,NONE,2,NONE,NONE,41.312148,-72.345572
Precision Motors of Mystic,2400 Gold Star Hwy,Mystic,24 hours daily,NONE,2,NONE,NONE,41.390465,-71.988657
Wesleyan University,161 Cross St,Middletown,24 hours daily,NONE,4,NONE,NONE,41.550883,-72.662214
BMW BRIDGEPORT,43 North Ave,Bridgeport,24 hours daily,NONE,2,NONE,NONE,41.2020685,-73.1897466
Connecticut State Capitol,210 Capitol Ave,Hartford,24 hours daily,NONE,2,NONE,NONE,41.764759,-72.682868
Executive Nissan,900 Universal Dr N,North Haven,Dealership business hours,NONE,1,1,NONE,41.360892,-72.870997
Propark Harbor Point Gateway Garage - Tesla Destination,406-424 Washington Blvd,Stamford,24 hours daily,NONE,2,NONE,NONE,41.045384,-73.543258
Wallingford Shopping Center,930 N Colony Rd,Wallingford,24 hours daily,NONE,2,NONE,NONE,41.483774,-72.807124
Fairfield Parks and Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,41.142152,-73.263962
The Westport Library,20 Jesup Road,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,41.1396711,-73.3613829
Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,41.015276,-73.634045
MORSCHES FF,95 Reef Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,41.1399023,-73.2564712
Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 hours daily,NONE,1,NONE,NONE,41.691611,-72.656507
Hoffman Toyota,36 Albany Turnpike,West Simsbury,Dealership business hours,NONE,1,NONE,NONE,41.818345,-72.867973
Ferguson Library - Harry Bennett Branch,115 Vine Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,41.099044,-73.544039
City of Hartford - Department of Public Works,50 Jennings Rd,Hartford,24 hours daily,NONE,1,NONE,NONE,41.785974,-72.652406
Hammonasset Beach State Park - North,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,41.26449,-72.561988
Metro Center Garage,1 Station Place,Stamford,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,1,NONE,NONE,41.0457112,-73.5419874
Middletown Nissan,1153 Newfield St,Middletown,Dealership business hours,NONE,3,1,NONE,41.59054,-72.676141
Wesleyan University,Lawn Ave & High St,Middletown,24 hours daily,1,2,NONE,NONE,41.553597,-72.65395
Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,24 hours daily,NONE,2,NONE,NONE,41.696446,-72.721392
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,24 hours daily; for Tesla use only,NONE,NONE,12,NONE,41.068704,-73.546435
Connecticut Post Mall - NW Entrance,1201 Boston Post Rd,Milford,6am-12pm daily,NONE,2,NONE,NONE,41.23608,-73.036899
Girard Nissan,425 Gold Star Hwy,Groton,Dealership business hours,NONE,1,NONE,NONE,41.370989,-72.054118
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for Tesla use only,NONE,NONE,2,NONE,41.246242,-73.010522
Goodwin University,211 Riverside Dr,East Hartford,24 hours daily,NONE,2,NONE,NONE,41.743194,-72.640075
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 hours daily; pay lot,1,1,NONE,NONE,41.769417,-72.681825
Illiano's Restaurant,257 W Town St,Yantic,11am-10pm daily,NONE,1,NONE,NONE,41.55775,-72.113144
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 hours daily,NONE,2,NONE,NONE,41.384051,-72.903596
Fairfield Senior Center,100 Mona Terrace,Fairfield,24 hours daily,NONE,2,NONE,NONE,41.132277,-73.26088
Butler Street Parking Lot,30 Butler St,Meriden,24 hours daily,NONE,2,NONE,NONE,41.53697,-72.805988
Propark - 777 Main,777 Main St,Hartford,Restricted to garage hours; pay lot,NONE,17,1,NONE,41.766034,-72.673634
JOHN ST CHARGER,234 John St,Bridgeport,24 hours daily,NONE,2,NONE,NONE,41.1772308,-73.1911131
Peck Lane Plaza Shopping Center,550 Boston Post Rd,Orange,24 hours daily,NONE,NONE,1,NONE,41.251801,-73.017784
PRESTIGE VW,42-46 W Broad St,Stamford,24 hours daily,NONE,2,NONE,NONE,41.0553525,-73.5464906
Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,41.142212,-73.264636
Norwalk Community College,188 Richards Ave,Norwalk,"7am-10pm M-F, 8am-5pm Sat",NONE,2,NONE,NONE,41.102848,-73.452539
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,24 hours daily,NONE,2,NONE,NONE,41.918347,-72.672748
CT RAIL,60 State St,Meriden,24 hours daily,NONE,2,NONE,NONE,41.5394301,-72.8007814
Killingly Town Hall,172 Main St,Killingly,24 hours daily,NONE,1,NONE,NONE,41.80577,-71.882323
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,41.693501,-72.768107
The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,24 hours daily,1,1,NONE,NONE,41.94378281,-71.97262186
Wilton Public Library,137 Old Ridgefield Rd,Wilton,"10am-8pm M-Th, 10am-6pm F, 10am-5pm Sat, 1pm-5pm Sun (Sunday hours in winter only)",NONE,1,NONE,NONE,41.192802,-73.43124
HAJJAR,213 Court St,Middletown,24 hours daily,NONE,2,NONE,NONE,41.5590961,-72.6501809
Goodwin University,403 Main St,East Hartford,24 hours daily,NONE,2,NONE,NONE,41.749499,-72.639362
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,NONE,1,NONE,NONE,41.274658,-72.812491
Big Y,1021 Main St,Cheshire,24 hours daily,NONE,2,NONE,NONE,41.476271,-72.907523
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,6am-12am daily,NONE,2,NONE,NONE,41.23636,-73.033472
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daily,NONE,12,NONE,NONE,41.561647,-72.648056
Ford of Branford,301 E Main St,Branford,Dealership business hours; Ford use only,NONE,2,NONE,NONE,41.292505,-72.789844
Morton Government Center,239 John St,Bridgeport,24 hours daily,NONE,1,NONE,NONE,41.177007,-73.191423
Town of Groton - Public Library,52 Newtown Rd,Groton,24 hours daily,NONE,2,NONE,NONE,41.347552,-72.028928
Burlington Library,34 Library Ln,Burlington,24 hours daily,NONE,2,NONE,NONE,41.771305,-72.967327
Bruce Bennett Nissan,978 Danbury Rd,Wilton,Dealership business hours,NONE,1,1,NONE,41.258992,-73.435546
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,24 hours daily; pay lot; see attendant for access,NONE,2,NONE,NONE,41.951328,-72.663078
Van Wilgen's Garden Center,51 Valley Rd,North Branford,9am-5pm M-F,NONE,1,NONE,NONE,41.306955,-72.766102
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 hours daily,NONE,2,NONE,NONE,41.3890729,-72.3518219
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 hours daily,NONE,2,NONE,NONE,41.394315,-73.075525
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 hours daily,NONE,4,NONE,NONE,41.491597,-72.091456
COMCAST,90 Phoenix Ave,Enfield,24 hours daily,NONE,4,NONE,NONE,41.977252,-72.581611
Greenlots - 92143,665 Commerce Dr,Fairfield,24 hours daily,NONE,2,NONE,NONE,41.163146,-73.23358
777 Main Street - Tesla Supercharger,777 Main Street,Hartford,24 hours daily; for Tesla use only,NONE,NONE,6,NONE,41.766493,-72.674129
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,24 hours daily,NONE,NONE,1,NONE,41.3305782,-73.4722156
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 hours daily; see front desk for access,NONE,1,NONE,NONE,41.092037,-73.453043
BIG Y FOODS,140 suit A West Rd,Ellington,24 hours daily,NONE,2,NONE,NONE,41.888958,-72.46388
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelton,24 hours daily; for customer use only,NONE,1,NONE,NONE,41.310498,-73.097982
Western Connecticut State University,190 White St,Danbury,24 hours daily,NONE,3,NONE,NONE,41.39936,-73.442053
MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 hours daily,NONE,2,NONE,NONE,41.089032,-73.4569573
Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,24 hours daily; for customer use only,NONE,3,NONE,NONE,41.760566,-72.737672
Connecticut Department of Motor Vehicles,60 State St,Wethersfield,8am-5pm M-F,NONE,1,NONE,NONE,41.7186625,-72.655754
Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,24 hours daily; for customer use only,NONE,1,NONE,NONE,41.38756,-73.494706
Sherman Green,1451 Post Rd,Fairfield,24 hours daily,NONE,1,NONE,NONE,41.140584,-73.256774
Stamford Government Center Garage,888 Washington Blvd,Stamford,24 hours daily,NONE,3,NONE,NONE,41.051637,-73.542499
Z Airport Parking,3 International Dr,East Granby,24 hours daily,NONE,1,NONE,NONE,41.928233,-72.709138
Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,24 hours daily; for customer use only,NONE,2,NONE,NONE,41.046329,-73.566753
Surface Parking Lot,121 Main St,New Britain,24 hours daily,NONE,2,NONE,NONE,41.666233,-72.781161
Deep River Library,150 Main St,Deep River,24 hours daily; see code on the face of charger or ask librarian to initiate charge,1,1,NONE,NONE,41.386805,-72.436701
State House Square,10-90 State House Square,Hartford,24 hours daily,NONE,1,NONE,NONE,41.766822,-72.671417
City of Milford - Train Station Parking,1 Railroad Ave,Milford,24 hours daily,NONE,2,NONE,NONE,41.222682,-73.060012
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 hours daily,NONE,4,NONE,NONE,41.251952,-72.546017
Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,Dealership business hours,NONE,1,1,NONE,41.309276,-72.383105
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 hours daily; for customer use only,NONE,4,NONE,NONE,41.28331,-72.351072
Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,24 hours daily; pay lot,NONE,1,NONE,NONE,41.142923,-73.264399
Metro Center 1,One Station Place,Stamford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,41.046112,-73.542177
Dinosaur State Park and Arboretum,400 West St,Rockyhill,Park business hours,NONE,2,NONE,NONE,41.651179,-72.658514
Staples High School,70 North Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,41.1526176,-73.3304754
Windham Town Hall,979 Main St,Windham,24 hours daily,NONE,2,NONE,NONE,41.71292,-72.217506
West Hartford - Town Hall,50 S Main St,West Hartford,Parking lot business hours,NONE,2,NONE,NONE,41.758754,-72.741204
Connecticut Welcome Center - Tesla Supercharger,1 E Trail,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,41.080103,-73.46135
City of New Haven - Temple Street Garage,1 Temple St,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,41.304245,-72.928369
Minor Memorial Library,23 South St,Roxbury,24 hours daily,NONE,1,NONE,NONE,41.55358,-73.30764
Szczesny Parking Garage,31 Bank St,New Britain,24 hours daily,NONE,2,NONE,NONE,41.666879,-72.78037
GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,41.801997,-72.241254
AAMCO EV,133 Pitkin St,East Hartford,24 hours daily,NONE,2,NONE,NONE,41.7632299,-72.6526688
Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,41.697035,-73.201059
Brass Mill Center - Entrance 3,495 Union St,Waterbury,6am-12pm daily,NONE,4,NONE,NONE,41.549008,-73.023973
COMM LOT STA 1,13 Durant Ave.,Bethel,24 hours daily,NONE,2,NONE,NONE,41.3762377,-73.4178034
Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,NONE,2,NONE,NONE,41.477151,-73.146142
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,NONE,1,NONE,NONE,41.463278,-72.442533
Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,24 hours daily,NONE,3,NONE,NONE,41.04514,-73.540098
Hartford Road Henny Penny,969 Hartford Road,Waterford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,41.3874871,-72.1591426
FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily,NONE,2,NONE,NONE,41.4699817,-71.9523342
Convention Center - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot,NONE,6,NONE,NONE,41.762852,-72.668973
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours,NONE,1,NONE,NONE,41.568122,-73.098764
MYSTIC AQUARIUM,55 Coogan Blvd,Mystic,24 hours daily,NONE,NONE,1,NONE,41.373074,-71.954088
University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily,NONE,2,NONE,NONE,41.555816,-73.038135
Danbury Parking Authority,21 Delay St,Danbury,Garage business hours,NONE,2,NONE,NONE,41.396042,-73.451059
INFINITYGREEN,201 Commons Park S,Stamford,24 hours daily,NONE,2,NONE,NONE,41.040838,-73.5405387
City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily,NONE,1,NONE,NONE,41.762206,-72.672842
White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 hours daily; for customer use only,NONE,1,NONE,NONE,41.98483,-73.422198
Premier Subaru,155 N Main St,Branford,24 hours daily,NONE,2,NONE,NONE,41.287914,-72.813257
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,41.69388755,-72.76632788
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage business hours,NONE,2,NONE,NONE,41.805152,-72.253601
Carter Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours,NONE,2,1,NONE,41.82187666,-72.50090654
Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours daily,NONE,NONE,1,NONE,41.294167,-72.9
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,41.8234945,-72.712466
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,41.107722,-73.546513
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Garage business hours,NONE,2,NONE,NONE,41.809176,-72.258277
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,41.14807,-73.255573
Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,24 hours daily,NONE,1,NONE,NONE,41.187855,-73.250024
Yankee Doodle,10 Burnell Boulevard,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,41.11803,-73.414932
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Dealership business hours,NONE,3,NONE,NONE,41.3729709,-72.9100121
777 MAIN ST,71 Asylum St,Hartford,24 hours daily,NONE,10,1,NONE,41.766676,-72.674468
Norwich Public Utilities,173 N Main St,Norwich,24 hours daily,NONE,4,NONE,NONE,41.527579,-72.063516
Fairfield Plaza,116 Danbury Rd,New Milford,24 hours daily,NONE,NONE,1,NONE,41.55735,-73.41763
Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,24 hours daily,NONE,4,NONE,NONE,41.7385909,-72.208134
